,index,title,description,image,url,k_means
13,13,30 en nooit meer werken ,Documentaire waarin de FIRE-beweging centraal staat. Deze aanhangers willen graag zo vroeg mogelijk financieel onafhankelijk zijn. Rond je dertigste met pensioen; dat is hun doel.,https://images.npo.nl/header/2560x1440/1607567.jpg,https://www.npostart.nl/30-en-nooit-meer-werken/POMS_S_POWN_16660184,10
14,14,Rauw Curaçao ,"Droomeiland Curaçao maakt door Covid-19 een zware crisis door die mensen dwingt tot rigoureuze keuzes. Wensly Francisco volgt Curaçaoënaars gedurende een jaar van strijd, van vallen en weer opstaan.",https://images.npo.nl/header/2560x1440/Rauw_Curacao_cdn_header-1636374379.jpg,https://www.npostart.nl/rauw-curacao/BV_101406718,2
15,15,In Beeld ,Potretten van succesvolle mensen die ook dieptepunten hebben gekend.,https://images.npo.nl/header/2560x1440/605531.jpg,https://www.npostart.nl/in-beeld/POMS_S_MAX_109021,2
16,16,Rekenen met Schooltv ,"Moffel en Piertje, Raaf, Prof. dr. Testkees en Mr. Right presenteren een combinatie van tv-programma's en oefenmateriaal voor het digitale schoolbord.",https://images.npo.nl/header/2560x1440/1060192.jpg,https://www.npostart.nl/rekenen-met-schooltv/POMS_S_NTR_124380,2
17,17,Juliana ,"De dramaserie Juliana neemt de kijker mee naar turbulente tijden (1940-1958) en spraakmakende kwesties, zoals de oorlogstijd, de troonsbestijging, de Hofmans-affaire, en Juliana's relatie met Bernhard en hun kinderen. Hoe beleefde Juliana de Tweede Wereldoorlog en de Watersnoodramp? En hoe gaat ze om met haar huwelijksproblemen?",https://images.npo.nl/header/2560x1440/Juliana_cdn_header-1620585477.jpg,https://www.npostart.nl/juliana/POMS_S_EO_097436,7
18,18,Dwars door de Middellandse Zee ,"Arnout Hauben reist van Gibraltar naar Jeruzalem, van west naar oost, langs bekende en minder bekende eilanden. Met zijn aanstekelijk enthousiasme gaat hij op zoek naar het verhaal van de mensen die in en met de Middellandse Zee leven.",https://images.npo.nl/header/2560x1440/Arnout_en_de_visser_van_Mallorca_cdn_header-1625732923.jpg,https://www.npostart.nl/dwars-door-de-middellandse-zee/VPWON_1322855,12
19,19,Polizei Potsdam ,"Luna Kunath en Sophie Pohlmann werken als inspecteur bij de recherche van Potsdam. De twee zijn goede vriendinnen, maar leiden totaal verschillende levens. De alleenstaande Luna is een ervaren politievrouw, die desondanks wat naïef in het leven staat. Sophie is getrouwd en moeder, maar haar hang naar harmonie zit haar soms in de weg. Samen met hun collega's proberen ze lastige moordzaken op te lossen.",https://images.npo.nl/header/2560x1440/68981-0-1.Original_cdn_header-1587171204.jpeg,https://www.npostart.nl/polizei-potsdam/POW_04263139,10
20,20,#MijnPestverhaal ,Anne-Mar Zwart trapt de landelijke Week Tegen Pesten af. Ze vraagt kinderen hun pestverhaal te delen.,https://images.npo.nl/header/2560x1440/Mijn_Pestverhaal_Anne-Mar_cdn_header-1632396804.jpg,https://www.npostart.nl/mijnpestverhaal/POMS_S_EO_16638982,10
21,21,Sterren Muziekfeest: Mega Piraten Festijn 2018 ,"Registratie van het Megapiratenfestijn in GelreDome met onder anderen Jan Smit, Gerard Joling, Snollebollekes, Lange Frans, Lee Towers en vele anderen.",https://images.npo.nl/header/2560x1440/1248608.jpg,https://www.npostart.nl/sterren-muziekfeest-mega-piraten-festijn-2018/POMS_S_AT_15659239,9
22,22,Ernest & Celestine ,Animatieserie over de bijzondere vriendschap tussen het kordate muisje Celestine en de muzikale beer Ernest.,https://images.npo.nl/header/2560x1440/1089583.jpg,https://www.npostart.nl/ernest-celestine/POW_03876961,8
23,23,Strictly come dancing ,"Een kijkje achter de schermen van Strictly come dancing waarin de deelnemers op de voet worden gevolgd. Hoe beleven zij de competitie, hoe zwaar is het om wekelijks een topprestatie neer te moeten zetten in een grote liveshow vol glitter en glamour?",https://images.npo.nl/header/2560x1440/139055.jpg,https://www.npostart.nl/strictly-come-dancing/POMS_S_AVRO_120156,2
24,24,Henk Elsink's concert ,"In theater 't Spant te Bussum zingt Henk Elsink een aantal liedjes uit zijn eigen repertoire, afgewisseld met korte conferences. Met medewerking van het Metropole Orkest o.l.v. Harry van Hoof.",https://images.npo.nl/header/2560x1440/889161.jpg,https://www.npostart.nl/henk-elsinks-concert/POMS_S_KN_8399251,9
25,25,Rechtsscholen van de islam ,,https://images.npo.nl/header/2560x1440/690191.jpg,https://www.npostart.nl/rechtsscholen-van-de-islam/POMS_S_MO_4414069,2
26,26,Kinderen van de rekening ,"Serie portretten van jongeren in de jeugdzorg, opgenomen in de omgeving van Den Haag met medewerking van de Stichting Jeugdformaat. Dit is een organisatie voor jeugd- en opvoedhulp waar 700 hulpverleners jaarlijks ruim 5000 gezinnen begeleiden. De kinderen komen uit ingewikkelde thuissituaties en knokken voor een zo normaal mogelijk bestaan. Gedurende een aantal maanden werden verschillende jongeren op hun weg naar zelfstandigheid gevolgd: een moeizaam proces van vallen en opstaan.",https://images.npo.nl/header/2560x1440/124287.jpg,https://www.npostart.nl/kinderen-van-de-rekening/POMS_S_NTR_124295,14
27,27,NOS Holocaust Herdenking ,"In Nederland wordt elke laatste zondag van januari de Holocaust herdacht, de systematische vervolging en uitroeiing van vooral Joodse burgers door de nazi's voor en tijdens de Tweede Wereldoorlog. Maar ook internationaal wordt de Holocaust herdacht.",https://images.npo.nl/header/2560x1440/SL_Nationale_Holocaust_herdenking_cdn_header-1643035301.png,https://www.npostart.nl/nos-holocaust-herdenking/NOSHerdenkingHolocaust,7
28,28,Kinderen voor Kinderen ,"Kinderen voor Kinderen is het bekendste koor van Nederland. Met ieder jaar een nieuwe cd vol leuke en mooie liedjes, videoclips, tv-series en vlogs!",https://images.npo.nl/header/2560x1440/kinderen_voor_kinderen_de_grote_show_2021_cdn_header-1635241812.jpeg,https://www.npostart.nl/kinderen-voor-kinderen/VARA_101378705,10
29,29,Close Up ,"De mooiste documentaires over architectuur, film, schilderkunst, fotografie, design, beeldhouwkunst en mode.",https://images.npo.nl/header/2560x1440/ident_close_up_David_Hockney_cdn_header-1587130468.jpg,https://www.npostart.nl/close-up/POMS_S_AVRO_096892,7
30,30,De outsiders ,"Tim den Besten ontmoet mensen die bewust kiezen voor een leven buiten de gebaande paden, mensen die het anders doen. Wie zijn de mensen die zich afzetten tegen de norm?",https://images.npo.nl/header/2560x1440/De_outsiders_VPRO_2020_afl_Activisme_Sioejeng_Tim_leader___VPRO_cdn_header-1599482012.jpg,https://www.npostart.nl/de-outsiders/VPWON_1298229,10
31,31,De vuilnisman ,Journalist Teun van de Keuken duikt in de wereld achter ons afval.,https://images.npo.nl/header/2560x1440/1542142.jpg,https://www.npostart.nl/de-vuilnisman/KN_1718256,6
32,32,Kiloknallers ,Het is voortdurend in het nieuws: we worden te dik. En iedereen denkt te weten wat we eraan moeten doen. Maar hoe is het nou écht om te zwaar te zijn? Centraal staan vijf kinderen tussen 10 en 12 jaar met obesitas.,https://images.npo.nl/header/2560x1440/Liekenaomi2_cdn_header-1590060484.jpg,https://www.npostart.nl/kiloknallers/VPWON_1266776,1
33,33,Villa Victoria ,Villa Victoria toont hoe een musical tot stand komt. Tijdens dit project maken leerlingen op verrassende wijze kennis met diverse kunstenaars en kunstdisciplines.,https://images.npo.nl/header/2560x1440/483903.jpg,https://www.npostart.nl/villa-victoria/POMS_S_NTR_100259,2
34,34,Jochem Myjer ,Alle cabaretregistraties van Jochem Myjer.,https://images.npo.nl/header/2560x1440/844438.jpg,https://www.npostart.nl/jochem-myjer/POMS_S_VARA_6601027,2
35,35,Kunstlicht ,Elke aflevering behandelt vanuit een discipline een cultureel en/of kunstzinnig onderwerp en belicht de historische achtergrond daarvan.,https://images.npo.nl/header/2560x1440/1025.jpg,https://www.npostart.nl/kunstlicht/POMS_S_NTR_100246,2
36,36,The trial of Christine Keeler,"Terwijl Groot-Brittannië in de greep is van de Cubacrisis, speelt een berooide danseres de sleutelrol in een affaire met vergaande gevolgen voor diverse regeringsfunctionarissen en haarzelf.",https://images.npo.nl/header/2560x1440/Trial_of_Christine_Keeler_2_cdn_header-1618392697.jpg,https://www.npostart.nl/the-trial-of-christine-keeler/POW_04409701,2
37,37,BLØF - Live At Ziggo Dome ,"Concertregistratie van het concert dat BLØF in 2012 gaf in het Ziggo Dome. Aanleiding voor het concert is het twintigjarig jubileum van BLØF. Een periode waarin de band meer dan dertig Top 40-hits scoorde als 'Wat zou je doen', 'Holiday in Spain' en 'Alles is liefde', de wereld rondreisde voor het UMOJA-project, maar ook drummer Chris Götte verloor door een motorongeluk. 'In die twintig jaar hebben we veel hoogtepunten gekend, en je jubileum vieren in zo'n zaal is er natuurlijk één van! Dit concert is een cadeau aan onze fans waarin alle hits, en ook de hits die we niet elke dag meer spelen, voorbij zullen komen', aldus Paskal Jakobsen.",https://images.npo.nl/header/2560x1440/439600.jpg,https://www.npostart.nl/blof-live-at-ziggo-dome/POMS_S_TROS_505222,9
38,38,De Magische Winkel ,Ergens in Nederland staat De Magische Winkel. De deuren van deze mysterieuze plek gaan open voor jonge goochelaars met een uitzonderlijk talent. Zij krijgen de vetste trucs uitgelegd.,https://images.npo.nl/header/2560x1440/magische_winkel_bckgrnd_cdn_header-1590013415.jpg,https://www.npostart.nl/de-magische-winkel/AT_2032109,10
39,39,EenVandaag in de klas ,"Voor meer context bij de actualiteit. Binnenland, buitenland, politiek, economie, veiligheid, gezondheid en cultuur. Presentatie: Rik van de Westelaken en Roos Moggré.",https://images.npo.nl/header/2560x1440/1654890.jpg,https://www.npostart.nl/eenvandaag-in-de-klas/POMS_S_NTR_948818,11
40,40,Dialoog met de natuur ,"Al wandelend door de Oostvaardersplassen praat ecoloog en filosoof Mathijs Schouten over onze relatie met de natuur met zeven bekende natuurliefhebbers, waaronder Andre Kuipers en Prinses Irene.",https://images.npo.nl/header/2560x1440/323752.jpg,https://www.npostart.nl/dialoog-met-de-natuur/POMS_S_VARA_824893,2
41,41,Killing Eve ,"Eve heeft een kantoorbaan bij MI5 die haar droom om spion te worden bij lange na niet kan vervullen. Villanelle is een ongrijpbare huurmoordenares, die geniet van haar luxe leven. Deze twee razend slimme vrouwen raken door elkaar geobsedeerd, wat leidt tot een spannend kat-en-muisspel.",https://images.npo.nl/header/2560x1440/grootvoordoris_cdn_header-1591613993.jpg,https://www.npostart.nl/killing-eve/POW_03846548,10
42,42,De aankomst van de vlag van D-Day ,"Twee Nederlandse zakenmannen kopen ruim twee jaar geleden voor 500.000 euro de Amerikaanse vlag die als eerste aankwam in Normandië op D-Day. Wij reconstrueren de aankomst van die vlag in Amerika. Het is het bijzondere verhaal over eigenaren Bert Kreuk en Theo Schols, die de D-Day-vlag terug willen geven aan Amerika.",https://images.npo.nl/header/2560x1440/1244698.jpg,https://www.npostart.nl/de-aankomst-van-de-vlag-van-d-day/POMS_S_WNL_15625922,2
43,43,Hoe overleef ik... ,Twaalfdelige televisieserie gebaseerd op de gelijknamige boeken van Francine Oomen over pubermeisje Rosa.,https://images.npo.nl/header/2560x1440/HOI-646_cdn_header-1589907888.jpg,https://www.npostart.nl/hoe-overleef-ik/AT_2058148,2
44,44,André van Duin: Oranje boven ,Clip carnavalsnummer André van Duin,https://images.poms.omroep.nl/image/s2560/c2560x1440/144527.jpg,https://www.npostart.nl/andre-van-duin-oranje-boven/POMS_S_TROS_166178,9
45,45,De Volmaakte Mens ,6-delige serie. Technologie staat niet stil en het is de vraag hoe dat onze relatie met techniek verandert. Wordt technologie onze redding of onze ondergang?,https://images.npo.nl/header/2560x1440/Bas_Heijne_credit_Merlijn_Doomernik__164_cdn_header-1589978745.jpg,https://www.npostart.nl/de-volmaakte-mens/VPWON_1263228,2
46,46,Alleen op de wereld ,"Remi is een vondeling. Verder is hij een hele gewone jongen die een heel gewoon leven leidt samen met Betty Barbarin, de moeder die hem gevonden heeft.Tot Betty's man na jaren thuiskomt en Remi achterlaat bij een benzinestation. Daar wordt Remi voor de tweede keer in zijn leven gevonden. Hij gaat ditmaal mee met Vitalis en zijn dieren in hun oude bus.",https://images.npo.nl/header/2560x1440/remi-alleen-op-de-wereld_cdn_header-1590076360.png,https://www.npostart.nl/alleen-op-de-wereld/VPWON_1266930,6
47,47,Tokidoki ,"Met haar gevoel voor humor én taal spreekt Paulien Cornelisse in het land van de rijzende zon met Japanners. Elke aflevering van Tokidoki, dat 'soms' betekent in het Japans, draait om een uniek Japans woord, dat eigenlijk niet te vertalen is.",https://images.npo.nl/header/2560x1440/2020202_Pauline_013_credits-Shiho-Fukada_cdn_header-1589291773.jpeg,https://www.npostart.nl/tokidoki/VPWON_1281308,2
48,48,TEN STRIJDE! ,In TEN STRIJDE! trekken geschiedenisfanaten Jort Kelder en Pieter Jan Hagens door Europa op een ontdekkingstocht naar de verhalen achter historische Nederlandse veld- en zeeslagen.,https://images.npo.nl/header/2560x1440/ten_strijde_bckgrnd_cdn_header-1590066215.png,https://www.npostart.nl/ten-strijde/AT_2047541,2
49,49,NOS OS Vandaag ,"Een terugblik op de olympische dag met samenvattingen, interviews met sporters, reportages en vaste rubrieken.",https://images.npo.nl/header/2560x1440/OWS_2022_Peking_vandaag_Herman_Zandt__cdn_header-1644090098.jpg,https://www.npostart.nl/nos-os-vandaag/NOSOSVandaag,5
50,50,"Padoem Patsss, De Oneliner Show ","De show waar je de allerbeste oneliners hoort, gemaakt door onbetwiste professionals. Want een goede oneliner maken is een vak. Of toch niet? Een programma over humor, taal en performance.",https://images.npo.nl/header/2560x1440/padoempatsss_cdn_header-1590045966.jpg,https://www.npostart.nl/padoem-patsss-de-oneliner-show/BNN_101381245,3
51,51,RO tv ,"Nederlandse (NL) comedyserie. Met: Jacqueline Blom, Fania Sörel, Cor de Geus e.a. Serie met (on-)ware documentaires. Afl.: Montmartre aan de Maas. De gemeente Rotterdam wil de rosse buurt op de Kaap in ere herstellen. Samen met prostituee Kim volgt RO tv de bouw van een nieuw eroscentrum in Katendracht.",https://images.poms.omroep.nl/image/s2560/c2560x1440/132041.jpg,https://www.npostart.nl/ro-tv/POMS_S_VPRO_084224,11
52,52,Koppensnellers ,Komische dramaserie over een meedogenloze zakenvrouw die de leiding krijgt over een ingedutte kwaliteitskrant.,https://images.npo.nl/header/2560x1440/1370630.jpg,https://www.npostart.nl/koppensnellers/AT_2117496,2
53,53,Life is beautiful ,"'Life is Beautiful' is gebaseerd op de adagia van Erasmus. Deze wijze oneliners van Erasmus inspireerden de filmmakers Mark de Cloe en Jeroen Berkvens om een dertigtal korte films te maken, een afwisselende serie vol observatie, poëtische kracht en fantasie. 'Life is Beautiful' laat ons zien hoe wonderlijk het leven is. De films nemen de kijker mee in de moeilijke keuzes van een jong verliefd puberstel, de ontmoeting tussen twee onbekenden, de dromen van een barista kampioene, de tocht van een rode koffer, de plek waar de wereld eindigt, het Verona van Julliet en naar de meisjes die boeken lezen in het openbaar",https://images.npo.nl/header/2560x1440/4322.jpg,https://www.npostart.nl/life-is-beautiful/POMS_S_HUMAN_126614,7
54,54,Danny Demonstreert ,Danny Ghosen volgt een aantal controversiële protestgroepen met uiteenlopende idealen. Van extreemrechts tot hardcore dierenactivisten. Van neonazi hipsters tot vrijheidsstrijders. Hij leert de actievoerders achter deze protestgroepen beter kennen en wil weten wat hen motiveert en hoe ver ze gaan om hun idealen te verwezenlijken.,https://images.npo.nl/header/2560x1440/Danny_volgt_het_extreemrechtse_Britain_First__NTR_cdn_header-1590116232.jpg,https://www.npostart.nl/danny-demonstreert/VPWON_1277237,2
55,55,Checkpoint ,Een avontuurlijk testprogramma voor kinderen.,https://images.npo.nl/header/2560x1440/Checkpoint_shoot_WJB_3315_willemjandebruin-HR_cdn_header-1610707974.jpg,https://www.npostart.nl/checkpoint/VPWON_1257901,10
56,56,Before We Die ,"Hanna is rechercheur bij Georganiseerde Misdaad in Stockholm. Als haar collega Sven wordt ontvoerd, neemt ze zijn undercoveronderzoek over in de hoop hem vrij te krijgen.",https://images.npo.nl/header/2560x1440/banhusbron-9862PHOTOCRED_Peter_Cederling_cdn_header-1587373913.jpg,https://www.npostart.nl/before-we-die/POW_03657607,1
57,57,Zero Dark Thirty ,"Het verhaal over de jacht op Osama Bin Laden, waarbij de nadruk wordt gelegd op de tijd in de aanloop naar zijn dood in Pakistan.",https://images.npo.nl/header/2560x1440/Zero_Dark_Thirty-1_cdn_header-1631432922.jpg,https://www.npostart.nl/zero-dark-thirty/POMS_S_NPO_2166659,2
58,58,"Adriaan van Dis, een wanhopig optimist ","Portret van Adriaan van Dis door Coen Verbraak, waarin zij mensen en plekken bezoeken die een belangrijke rol speelden in Van Dis' leven.",https://images.npo.nl/header/2560x1440/1645460.jpg,https://www.npostart.nl/adriaan-van-dis-een-wanhopig-optimist/POMS_S_VPRO_16732026,13
59,59,The zoo ,"Breng een uniek bezoekje aan de dierentuin, waar Jurgen en zijn vreemde gorilla-crew een geheime wereld van pratende dieren onthullen.",https://images.npo.nl/header/2560x1440/TZOO01_07_EPI_IMA_03_cdn_header-1590119609.jpg,https://www.npostart.nl/the-zoo/POW_03510265,6
60,60,Smoeder ,"Maria Goos gaat langs bij verschillende prominenten om over hun ouders te praten. Samen halen ze herinneringen op. Het televisieprogramma is geïnspireerd op de gelijknamige theatervoorstelling, die Maria Goos met Marcel Musters maakte.",https://images.npo.nl/header/2560x1440/Smoeder_cdn_header-1632135832.jpg,https://www.npostart.nl/smoeder/POW_05057212,2
61,61,Snapje? ,"Liedjes met videoclips die ervoor zorgen dat het kwartje valt, of waarmee je een handig ezelsbruggetje leert. Snapje?",https://images.npo.nl/header/2560x1440/895775.jpg,https://www.npostart.nl/snapje/VPWON_1265216,2
62,62,Switch ,"De allereerste quiz zonder punten! Klaas van der Eerden vuurt in 4 diverse ronden vragen af op 5 kandidaten, die een hele week mee spelen in Switch. Heb je een antwoord goed, dan wissel je een plek omhoog. Heb je het fout, dan wissel je een plek omlaag. Iedere dag is er 1000 euro te verdienen voor de finalist. Wordt de finale niet gewonnen, dan verhuist het geld mee naar de volgende dag. De prijzenpot kan dus behoorlijk oplopen.",https://images.npo.nl/header/2560x1440/selectie-klaas-avrotros-nkf3069_cdn_header-1590131622.jpg,https://www.npostart.nl/switch/AT_2092687,2
63,63,Het Lot van Lotte Lammers ,,https://images.npo.nl/header/2560x1440/1399635.jpg,https://www.npostart.nl/het-lot-van-lotte-lammers/POMS_S_BNN_3814610,2
64,64,De beloften ,Zeven jonge topsporters werden vier jaar lang gevolgd op de lange weg richting hun droom: meedoen aan de Olympische Spelen in Tokio. Ze worden de nieuwe Dafne Schippers of de nieuwe Pieter van den Hoogenband genoemd. Maar maken ze die verwachtingen waar? Wie haalt uiteindelijk de eindstreep en wie niet?,https://images.npo.nl/header/2560x1440/De_Beloften_3_cdn_header-1624885496.jpg,https://www.npostart.nl/de-beloften/VPWON_1281490,3
65,65,Eeuwig Jong ,De nieuwe en controversiële wereld van anti-aging.,https://images.npo.nl/header/2560x1440/605442.jpg,https://www.npostart.nl/eeuwig-jong/POMS_S_MAX_460114,6
66,66,VPRO Cinema Collectie ,"Filmjournalist Gerhard Busch gaat met filmmakers in gesprek over die éne doorbraakfilm, die aansluitend aan het interview wordt uitgezonden.",https://images.npo.nl/header/2560x1440/960659.jpg,https://www.npostart.nl/vpro-cinema-collectie/POMS_S_VPRO_1187852,2
67,67,De Klusjesmannen ,Tik 'm aan ouwe! Sander Lantinga en Rámon Verkoeijen storten zich vol in de vakantiebaantjes. Ze knappen kutklussen op: van het verzorgen van een zakenlunch tot het scheppen van stront op de boerderij. De beste zomerse werkplekken krijgen eeuwige roem met de Tik 'm aan Award.,https://images.npo.nl/header/2560x1440/14770.jpg,https://www.npostart.nl/de-klusjesmannen/POMS_S_BNN_123457,2
68,68,Boeddhisme en de toekomst ,Gaan boeddhisme en technologie hand in hand? Geen uitvinding wordt geweerd tijdens de jaarlijkse Buddhist Geeks Conference.,https://images.npo.nl/header/2560x1440/576036.jpg,https://www.npostart.nl/boeddhisme-en-de-toekomst/POMS_S_BOS_794542,4
69,69,2Doc ,Alle documentaires die onder de noemer 2Doc: uitgezonden zijn op NPO 2.,https://images.npo.nl/header/2560x1440/V3_nacht_cdn_header-1615200840.png,https://www.npostart.nl/2doc/POMS_S_VPRO_472240,2
70,70,Niks te melden ,Komische serie over de minder spannende momenten van het politiewerk.,https://images.npo.nl/header/2560x1440/Niks_Te_Melden_cdn_header-1623932787.jpg,https://www.npostart.nl/niks-te-melden/BV_101401241,13
71,71,Hoog gewaardeerd ,"Nederland is in een gedeeltelijke lockdown en de nieuwe maatregelen zorgen ervoor dat we met z’n allen weer meer thuis zitten. Om van de nood een deugd te maken stelt NPO Start dagelijks een selectie van programma’s samen die je over de meest uiteenlopende onderwerpen meer verdieping, duiding en kennis biedt. Hooggewaardeerde programma’s van de afgelopen jaren die je absoluut gezien moet hebben.",https://images.npo.nl/header/2560x1440/DSC_0077_cdn_header-1589929600.JPG,https://www.npostart.nl/hoog-gewaardeerd/POMS_S_NPO_4218336,1
72,72,De Wereld Draait Door ,"Liveprogramma vanuit Amsterdam met actuele gasten uit de politiek, wetenschap, sport, cultuur en media. Met optredens, opmerkelijke tv fragmenten en Lucky TV.",https://images.npo.nl/header/2560x1440/Matthijs_van_Nieuwkerk_DWDD_standaardstill_16_9_cdn_header-1587181911.jpg,https://www.npostart.nl/de-wereld-draait-door/VARA_101377717,11
73,73,Knappe Koppen,Kijkersvragen beantwoord in Knappe Koppen met Gregory Sedoc,https://images.npo.nl/header/2560x1440/AVROTROS_Knappe_Koppen_EF_01566_cdn_header-1587197125.jpg,https://www.npostart.nl/knappe-koppen/AT_2130166,2
74,74,NOS Jeugdjournaal Koningsspelen ,Verslag van de opening van de Koningsspelen door koning Willem-Alexander en koningin Máxima. Interviews en achtergronden bij het grootste evenement voor kinderen in Nederland. Aan deze nationale sport- en speldag doen meer dan een miljoen schoolkinderen mee. Na de officiële openingshandeling door de koning treedt Kinderen voor Kinderen op met een nieuw lied dat speciaal voor de Koningsspelen is geschreven.,https://images.npo.nl/header/2560x1440/Schermafbeelding_2018-04-20_om_16.23.37_cdn_header-1586166970.png,https://www.npostart.nl/nos-jeugdjournaal-koningsspelen/NOSJeugdKonSpelen,5
75,75,De Publieke Tribune ,"Bestuurders gaan in gesprek met burgers die geraakt worden door hun beleid. Mensen voor wie actuele maatschappelijke spanningen de orde van de dag bepalen, vertellen over hun persoonlijke ervaringen en bevragen bestuurders, in de hoop hen aan het denken te zetten over een ander beleid.",https://images.npo.nl/header/2560x1440/DePubliekeTribune-AnnavanKooij-0913_cdn_header-1610358827.jpg,https://www.npostart.nl/de-publieke-tribune/VPWON_1301135,4
76,76,Noord-Zuid-Oost-West ,"De mooiste documentaires, achtergrondprogramma's en persoonlijke verhalen van de regionale omroepen.",https://images.npo.nl/header/2560x1440/1547166.jpg,https://www.npostart.nl/noord-zuid-oost-west/POW_05039552,2
77,77,NOS OS Studio ,Liveprogramma vanaf de Jaap Eden IJsbaan in Amsterdam. Met gasten wordt teruggeblikt op de Olympische dag in Peking. Verder zijn er onder meer reportages en muziek.,https://images.npo.nl/header/2560x1440/Dione_de_Graaff_De_Avondetappe_2021_cdn_header-1625729149.jpg,https://www.npostart.nl/nos-os-studio/NOSOSStudio,11
78,78,DREAM SCHOOL ,Bokslegende Lucia Rijker en rector Eric van ‘t Zelfde nemen een groep voortijdig schoolverlaters onder hun hoede.,https://images.npo.nl/header/2560x1440/DREAM_SCHOOL_2021_Groep_cdn_header-1632835940.jpg,https://www.npostart.nl/dream-school/VPWON_1266031,2
